ARREST_DATE,OFNS_DESC,ARREST_BORO,ARREST_PRECINCT,AGE_GROUP,PERP_SEX,PERP_RACE
01/04/2025,GRAND LARCENY,M,7,25-44,M,BLACK
01/02/2025,ASSAULT 3 & RELATED OFFENSES,M,23,25-44,F,BLACK
01/05/2025,MISCELLANEOUS PENAL LAW,K,76,45-64,M,WHITE
01/07/2025,FELONY ASSAULT,Q,113,45-64,M,BLACK
01/06/2025,DANGEROUS WEAPONS,M,5,25-44,M,WHITE
01/13/2025,ASSAULT 3 & RELATED OFFENSES,B,40,25-44,M,WHITE HISPANIC
01/14/2025,RAPE,Q,112,45-64,M,BLACK
01/16/2025,ROBBERY,M,26,<18,M,BLACK
01/19/2025,FELONY ASSAULT,Q,113,18-24,M,BLACK
01/21/2025,FELONY ASSAULT,Q,101,45-64,F,BLACK
01/30/2025,ROBBERY,K,81,25-44,M,BLACK
02/05/2025,RAPE,K,77,18-24,M,BLACK
02/05/2025,FELONY ASSAULT,Q,103,25-44,M,BLACK
02/03/2025,RAPE,B,46,18-24,M,BLACK
02/14/2025,DANGEROUS WEAPONS,B,42,18-24,M,BLACK
02/08/2025,PETIT LARCENY,M,18,45-64,M,WHITE
02/12/2025,ASSAULT 3 & RELATED OFFENSES,K,76,45-64,M,BLACK
02/13/2025,ASSAULT 3 & RELATED OFFENSES,B,40,45-64,M,WHITE HISPANIC
02/15/2025,FELONY ASSAULT,M,25,25-44,M,BLACK
02/18/2025,VEHICLE AND TRAFFIC LAWS,B,45,18-24,M,BLACK
02/18/2025,RAPE,K,77,25-44,M,WHITE
02/17/2025,ROBBERY,M,14,25-44,M,BLACK
02/24/2025,ROBBERY,B,47,25-44,M,BLACK
03/05/2025,FELONY ASSAULT,B,48,25-44,M,WHITE HISPANIC
02/26/2025,RAPE,B,41,45-64,M,BLACK
02/26/2025,PETIT LARCENY,K,79,18-24,M,BLACK
02/25/2025,DANGEROUS WEAPONS,Q,101,<18,M,BLACK
03/04/2025,FELONY ASSAULT,M,14,25-44,M,WHITE
03/06/2025,(null),Q,108,18-24,M,BLACK
03/06/2025,RAPE,M,5,25-44,M,WHITE
02/15/2025,ASSAULT 3 & RELATED OFFENSES,B,50,65+,M,BLACK
03/19/2025,VEHICLE AND TRAFFIC LAWS,Q,116,25-44,M,BLACK
03/15/2025,FELONY ASSAULT,Q,101,25-44,M,BLACK
03/22/2025,THEFT-FRAUD,Q,109,45-64,M,BLACK
03/26/2025,OTHER OFFENSES RELATED TO THEFT,B,48,25-44,F,BLACK
02/10/2025,ASSAULT 3 & RELATED OFFENSES,B,42,18-24,F,BLACK
03/26/2025,DANGEROUS WEAPONS,B,46,45-64,M,BLACK
03/27/2025,FORGERY,M,5,25-44,M,BLACK
03/28/2025,PETIT LARCENY,K,66,25-44,M,WHITE
03/02/2025,ASSAULT 3 & RELATED OFFENSES,M,13,45-64,M,BLACK
03/28/2025,GRAND LARCENY,M,14,18-24,F,WHITE HISPANIC
03/26/2025,FELONY ASSAULT,B,47,25-44,M,BLACK
03/27/2025,MISCELLANEOUS PENAL LAW,M,28,25-44,F,WHITE
03/27/2025,ROBBERY,B,45,25-44,M,BLACK
03/27/2025,ASSAULT 3 & RELATED OFFENSES,B,47,25-44,F,WHITE HISPANIC
03/29/2025,DANGEROUS WEAPONS,Q,104,25-44,M,WHITE
03/27/2025,DANGEROUS DRUGS,B,40,25-44,M,BLACK
03/30/2025,BURGLARY,B,52,45-64,M,WHITE HISPANIC
03/31/2025,ASSAULT 3 & RELATED OFFENSES,B,40,25-44,M,BLACK HISPANIC
01/18/2025,OTHER OFFENSES RELATED TO THEFT,M,14,25-44,M,BLACK
01/03/2025,OFFENSES AGAINST PUBLIC ADMINI,M,14,45-64,M,WHITE HISPANIC
01/19/2025,FELONY ASSAULT,B,41,25-44,M,BLACK HISPANIC
01/03/2025,FELONY ASSAULT,B,52,45-64,M,WHITE HISPANIC
01/18/2025,ASSAULT 3 & RELATED OFFENSES,M,25,45-64,F,WHITE
02/04/2025,OTHER TRAFFIC INFRACTION,S,120,25-44,M,BLACK
01/30/2025,GRAND LARCENY,M,18,25-44,M,WHITE HISPANIC
01/19/2025,OFFENSES AGAINST PUBLIC ADMINI,B,43,25-44,M,WHITE HISPANIC
01/25/2025,MOVING INFRACTIONS,K,68,25-44,M,BLACK
01/23/2025,VEHICLE AND TRAFFIC LAWS,K,81,25-44,M,WHITE HISPANIC
01/21/2025,ASSAULT 3 & RELATED OFFENSES,Q,115,25-44,M,WHITE HISPANIC
01/02/2025,DANGEROUS DRUGS,K,77,25-44,M,BLACK
01/02/2025,ROBBERY,B,49,18-24,M,WHITE HISPANIC
01/14/2025,MISCELLANEOUS PENAL LAW,K,61,18-24,M,WHITE HISPANIC
